"Hela riket","Blekinge","Dalarna","Gotland","Gävleborg","Halland","Jämtland","Jönköping","Kalmar","Kronoberg","Norrbotten","Skåne","Stockholm","Sörmland","Uppsala","Västra Götaland","Värmland","Västerbotten","Västernorrland","Västmanland","Örebro","Östergötland"
"","37","27","61","46","29","23","15","1","49","45","54","6","64","55","39","25","71","32","65","84","91"
"","87","41","","4","35","","14","3","36","70","10","43","57","90","28","17","51","66","","85","11"
"","","","","44","","","16","","","68","73","62","","56","52","26","47","67","","50","82"
"","","","","","","","","","","48","30","72","","79","34","","81","","","83","40"
"","","","","","","","","","","","74","95","","78","92","","","","","","12"
"","","","","","","","","","","","75","42","","","31","","","","","",""
"","","","","","","","","","","","88","77","","","33","","","","","",""
"","","","","","","","","","","","24","9","","","59","","","","","",""
"","","","","","","","","","","","53","8","","","19","","","","","",""
"","","","","","","","","","","","","7","","","22","","","","","",""
"","","","","","","","","","","","","58","","","20","","","","","",""
"","","","","","","","","","","","","5","","","18","","","","","",""
"","","","","","","","","","","","","89","","","21","","","","","",""
"","","","","","","","","","","","","","","","86","","","","","",""
"","","","","","","","","","","","","","","","38","","","","","",""
